LDOC 2025 Daytime Programming,,,
Start Time,Stop Time,Event,Location
9:00 AM,11:00 AM,Duke Stores Breakfast,Wannamaker Quad
9:00 AM,11:00 AM,Nasher Museum Breakfast,Craven Quad
9:00 AM,11:00 AM,Career Center Breakfast,Few Quad
9:00 AM,11:00 AM,Duke Libraries Breakfast,Kilgo Quad
9:00 AM,11:00 AM,Alumni Engagement and Development Breakfast,Keohane Quad
9:00 AM,11:00 AM,NSFP Breakfast,Edens Quad
9:00 AM,11:00 AM,OUE Breakfast,Crowell Quad
10:00 AM,2:00 PM,"Chapel Activities (Lawn Games, Cotton Candy, Popcorn, and T-shirts)",Chapel Quad
10:00 AM,2:00 PM,Poetry Fox,WU
10:00 AM,12:00 PM,VR Escape Room,Link
10:00 AM,10:45 AM,Yoga,K-Ville
10:30 AM,12:30 PM,DuWell Narcan Training,BC Plaza
11:00 AM,12:40 PM,Dance Performances,BC Plaza Stage
11:00 AM,1:00 PM,VisArts Flower Crown Making + Cowboy Hat Decorating,Chapel Quad
11:00 AM,3:00 PM,Duke Rec Lawn Games,K-Ville
11:00 AM,2:00 PM,Food Trucks,Wellness Lot
11:30 AM,2:30 PM,Chapel Climbs,Chapel
11:30 AM,4:30 PM,Sensory Friendly Programming,Academic Resource Center (East Campus)
12:00 PM,2:00 PM,SPEV Wall Art,BC Plaza
12:00 PM,3:30 PM,Zim Zoom,BC Plaza
12:00 PM,2:00 PM,Tote Bags,Chapel Quad
12:00 PM,3:00 PM,Tarot Card Readings,Chapel Quad
12:00 PM,2:00 PM,Cynanotypes with DukeArts,Chapel Quad
12:00 PM,2:00 PM,Mindfulness Painting,Wellness
12:30 PM,2:30 PM,STR Postcards,BC Plaza Stage
12:30 PM,2:00 PM,Jazz@,BC Plaza Bookstore Stage
12:30 PM,2:30 PM,Succulents/Mini Pot Station,BC Plaza
1:00 PM,3:00 PM,"Ice cream (Pincho Loco), popcorn (Mad Popper), cotton candy (Capital City)",BC Plaza
1:00 PM,3:00 PM,Face Painting,BC Plaza
1:00 PM,5:30 PM,Darty,Wannamaker Quad
1:00 PM,5:30 PM,Darty,Craven Quad
1:00 PM,5:30 PM,Darty,Few Quad
1:00 PM,5:30 PM,Darty + GrillGo,Kilgo Quad
1:00 PM,4:00 PM,BSA Cookout,Keohane Quad
1:00 PM,5:30 PM,Darty,Edens Quad
1:00 PM,5:30 PM,Darty,Crowell Quad
1:00 PM,5:30 PM,Darty and L-LDOC,Clocktower Quad
1:00 PM,4:00 PM,Casino Games,Outside Kraft (WU)
1:00 PM,2:00 PM,Duke@Nite Trivia,Inside Kraft (WU)
2:00 PM,4:00 PM,"I&E Events (Polaroids, Popsicles, Lawn Games)",BC Plaza
2:00 PM,3:30 PM,Stuff-a-Critter,Chapel Quad
2:00 PM,4:00 PM,Karaoke,Wellness
3:00 PM,6:00 PM,Penn Pavilion BBQ,Penn Pavilion
3:30 PM,5:00 PM,Duke PAWS,BC Plaza
10:00 PM,12:00 AM,Food Trucks,Wellness Lot
10:00 PM,10:30 PM,Midnight Pizza,Chapel Quad